sample,fastq_1,fastq_2,strandedness
SRR21854733,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854733.fastq.gz,,auto
SRR21854722,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854722.fastq.gz,,auto
SRR21854731,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854731.fastq.gz,,auto
SRR21854726,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854726.fastq.gz,,auto
SRR21854736,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854736.fastq.gz,,auto
SRR21854737,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854737.fastq.gz,,auto
SRR21854729,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854729.fastq.gz,,auto
SRR21854734,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854734.fastq.gz,,auto
SRR21854723,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854723.fastq.gz,,auto
SRR21854741,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854741.fastq.gz,,auto
SRR21854735,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854735.fastq.gz,,auto
SRR21854740,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854740.fastq.gz,,auto
SRR21854732,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854732.fastq.gz,,auto
SRR21854725,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854725.fastq.gz,,auto
SRR21854739,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854739.fastq.gz,,auto
SRR21854730,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854730.fastq.gz,,auto
SRR21854724,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854724.fastq.gz,,auto
SRR21854743,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854743.fastq.gz,,auto
SRR21854721,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854721.fastq.gz,,auto
SRR21854728,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854728.fastq.gz,,auto
SRR21854738,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854738.fastq.gz,,auto
SRR21854727,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854727.fastq.gz,,auto
SRR21854742,s3://abbvie-strand-psych-internal-us-east-1/dropoff/Neuropsyc/data/fullData/SRP401847/SRR21854742.fastq.gz,,auto
